2019-01-29 18:47:27 - getBjBus.py[line:144] - INFO: 获取路线23的方向名称!
2019-01-29 18:47:27 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=23
2019-01-29 18:47:27 - getBjBus.py[line:148] - INFO: 获取路线23(朝阳半壁店-虎坊路)的站点!
2019-01-29 18:47:27 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4895399115669313401
2019-01-29 18:47:27 - getBjBus.py[line:151] - INFO: 获取路线23(朝阳半壁店-虎坊路)的时间!
2019-01-29 18:47:27 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4895399115669313401
2019-01-29 18:47:27 - getBjBus.py[line:148] - INFO: 获取路线23(虎坊路-朝阳半壁店)的站点!
2019-01-29 18:47:27 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5676240582803540192
2019-01-29 18:47:27 - getBjBus.py[line:151] - INFO: 获取路线23(虎坊路-朝阳半壁店)的时间!
2019-01-29 18:47:27 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5676240582803540192
2019-01-29 18:47:28 - getBjBus.py[line:144] - INFO: 获取路线24的方向名称!
2019-01-29 18:47:28 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=24
2019-01-29 18:47:28 - getBjBus.py[line:148] - INFO: 获取路线24(北京站前街-左家庄)的站点!
2019-01-29 18:47:28 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5382712272500084186
2019-01-29 18:47:28 - getBjBus.py[line:151] - INFO: 获取路线24(北京站前街-左家庄)的时间!
2019-01-29 18:47:28 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5382712272500084186
2019-01-29 18:47:28 - getBjBus.py[line:148] - INFO: 获取路线24(左家庄-北京站)的站点!
2019-01-29 18:47:28 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5428667803451290991
2019-01-29 18:47:28 - getBjBus.py[line:151] - INFO: 获取路线24(左家庄-北京站)的时间!
2019-01-29 18:47:28 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5428667803451290991
2019-01-29 18:47:28 - getBjBus.py[line:144] - INFO: 获取路线25的方向名称!
2019-01-29 18:47:28 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=25
2019-01-29 18:47:28 - getBjBus.py[line:148] - INFO: 获取路线25(城外诚-永定门长途汽车站)的站点!
2019-01-29 18:47:28 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5536800252180662457
2019-01-29 18:47:29 - getBjBus.py[line:151] - INFO: 获取路线25(城外诚-永定门长途汽车站)的时间!
2019-01-29 18:47:29 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5536800252180662457
2019-01-29 18:47:29 - getBjBus.py[line:148] - INFO: 获取路线25(永定门长途汽车站-城外诚)的站点!
2019-01-29 18:47:29 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5756699870580366887
2019-01-29 18:47:29 - getBjBus.py[line:151] - INFO: 获取路线25(永定门长途汽车站-城外诚)的时间!
2019-01-29 18:47:29 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5756699870580366887
2019-01-29 18:47:29 - getBjBus.py[line:144] - INFO: 获取路线26的方向名称!
2019-01-29 18:47:29 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=26
2019-01-29 18:47:29 - getBjBus.py[line:148] - INFO: 获取路线26(西便门-二里庄)的站点!
2019-01-29 18:47:29 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5437740657234855679
